country,ccode,group,groupid,year,region,rcode,active,phase1,phase2,fyphase,fyphase1,fyphase2,fygroup,startdate1,enddate1,tyrule1,startdate2,enddate2,tyrule2,perstart,perend,violsd,lviolsd,hviolsd,ambiguous,nviolsd,prioract,priorconflict,priornonviol,priorviol,violsd_onset,hviolsd_onset,shortpeace_violsd,shortpeace_hviolsd,py_violsd_phase,py_violsd_country,py_hviolsd_phase,py_hviolsd_country,violsd_onset_woambig,hviolsd_onset_woambig,shortpeace_violsd_woambig,shortpeace_hviolsd_woambig,py_violsd_woambig_phase,py_violsd_woambig_country,py_hviolsd_woambig_phase,py_hviolsd_woambig_country,doublecount,doublecount_oldhost,doublecount_newhost,sample,weight,below500000,violent,switched,con,cultcon,autcon,indcon,res,cultres,autres,indres,priorcon1,priorres1,priorcon2,priorres2,majterr1,majterr2,majterr3,claim,landborder,seashore,hydrocarbon,groupcon,kin,regaut,defacto,pwrstat,excluded,groupsize,epr2sdm_scenario,epr_group,epr_gwgroupid,sovdec,autdec,subdec,inddec,irrdec,ucdp_conflictid,ucdp_territoryname,ucdp_intensitylevel,ucdp_cumulativeintensity,ucdp_typeofconflict,ucdp_terrconflict,ucdp_hterrconflict,ucdp_terrconflict_onset,ucdp_hterrconflict_onset,shortpeace_ucdp_terrconflict,shortpeace_ucdp_hterrconflict,py_ucdp_terrconflict_phase,py_ucdp_terrconflict_country,py_ucdp_hterrconflict_phase,py_ucdp_hterrconflict_country,accomm,strictaccomm
Afghanistan,700,Hazaras,700010,1950,Central Asia,3,0,1,0,0,0,0,1,1960,9999,,,,,1960,1979,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,700,Hazaras,700010,1951,Central Asia,3,0,1,0,0,0,0,0,1960,9999,,,,,1960,1979,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,700,Hazaras,700010,1952,Central Asia,3,0,1,0,0,0,0,0,1960,9999,,,,,1960,1979,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,700,Hazaras,700010,1953,Central Asia,3,0,1,0,0,0,0,0,1960,9999,,,,,1960,1979,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,700,Hazaras,700010,1954,Central Asia,3,0,1,0,0,0,0,0,1960,9999,,,,,1960,1979,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,700,Hazaras,700010,1955,Central Asia,3,0,1,0,0,0,0,0,1960,9999,,,,,1960,1979,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,700,Hazaras,700010,1956,Central Asia,3,0,1,0,0,0,0,0,1960,9999,,,,,1960,1979,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,700,Hazaras,700010,1957,Central Asia,3,0,1,0,0,0,0,0,1960,9999,,,,,1960,1979,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,700,Hazaras,700010,1958,Central Asia,3,0,1,0,0,0,0,0,1960,9999,,,,,1960,1979,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,700,Hazaras,700010,1959,Central Asia,3,0,1,0,0,0,0,0,1960,9999,,,,,1960,1979,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,700,Hazaras,700010,1960,Central Asia,3,1,1,0,1,1,0,0,1960,9999,,,,,1960,1979,0,0,0,0,1,0,,,,0,0,0,0,0,15,0,15,0,0,0,0,0,15,0,15,,,,0,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,14,0,14,,
